# Average of 1 scan from 20260521_RuO2_Ref_dir
# energy_eV	mu
22294.308	0.1432964218
22295.2585	0.1427168319
22296.209	0.1419738739
22297.1595	0.1411855723
22298.11	0.1403972708
22299.0605	0.1396089692
22300.011	0.1395907563
22300.9615	0.1403273906
22301.912	0.1410640248
22302.8625	0.1418006591
22303.813	0.1424106442
22304.7635	0.1428052898
22305.714	0.1431999354
22306.6645	0.143594581
22307.615	0.1439952238
22308.5655	0.1444569331
22309.516	0.1449186423
22310.4665	0.1453803516
22311.417	0.1458420608
22312.3675	0.146845256
22313.318	0.147978436
22314.2685	0.149111616
22315.219	0.150244796
22316.1695	0.1495621096
22317.12	0.1482418695
22318.0705	0.1469216294
22319.021	0.1456013894
22319.9715	0.1447462928
22320.922	0.1444482931
22321.8725	0.1441502933
22322.823	0.1438522936
22323.7735	0.1435439446
22324.724	0.1432028947
22325.6745	0.1428618448
22326.625	0.1425207949
22327.5755	0.1421374538
22328.526	0.1400098346
22329.4765	0.1378822154
22330.427	0.1357545962
22331.3775	0.133626977
22332.328	0.1338488865
22333.2785	0.1343925914
22334.229	0.1349362964
22335.1795	0.1354800013
22336.13	0.1359298839
22337.0805	0.136331359
22338.031	0.136732834
22338.9815	0.1371343091
22339.932	0.1380567412
22340.8825	0.1393488092
22341.833	0.1406408773
22342.7835	0.1419329454
22343.734	0.1424554753
22344.6845	0.1410973768
22345.635	0.1397392783
22346.5855	0.1383811799
22347.536	0.1370999706
22348.4865	0.1362955326
22349.437	0.1354910946
22350.3875	0.1346866567
22351.338	0.1338822187
22352.2885	0.1346780594
22353.239	0.1354960907
22354.1895	0.136314122
22355.14	0.1371321533
22356.0905	0.1373791041
22357.041	0.1375113338
22357.9915	0.1376435636
22358.942	0.1377757933
22359.8925	0.1380021016
22360.843	0.1382899827
22361.7935	0.1385778638
22362.744	0.1388657449
22363.6945	0.1385297788
22364.645	0.1371496802
22365.5955	0.1357695816
22366.546	0.134389483
22367.4965	0.1333240066
22368.447	0.1341509071
22369.3975	0.1349778075
22370.348	0.1358047079
22371.2985	0.1366316083
22372.249	0.1375023172
22373.1995	0.1383738
22374.15	0.1392452827
22375.1005	0.1401167655
22376.051	0.1396010562
22377.0015	0.1386206765
22377.952	0.1376402969
22378.9025	0.1366599172
22379.853	0.1360665515
22380.8035	0.135966212
22381.754	0.1358658725
22382.7045	0.135765533
22383.655	0.1355315436
22384.6055	0.1350474149
22385.556	0.1345632862
22386.5065	0.1340791575
22387.457	0.133612339
22388.4075	0.1336121331
22389.358	0.1336119272
22390.3085	0.1336117214
22391.259	0.1336115155
22392.2095	0.1344814863
22393.16	0.135576056
22394.1105	0.1366706257
22395.061	0.1377651954
22396.0115	0.138110105
22396.962	0.1378487244
22397.9125	0.1375873438
22398.863	0.1373259632
22399.8135	0.1371150334
22400.764	0.1369863042
22401.7145	0.136857575
22402.665	0.1367288457
22403.6155	0.1366001165
22404.566	0.1364713873
22405.5165	0.136342658
22406.467	0.1362139288
22407.4175	0.1360851996
22408.368	0.1359564704
22409.3185	0.1358277411
22410.269	0.135713929
22411.2195	0.1356067153
22412.17	0.1354995016
22413.1205	0.1353922879
22414.071	0.1352850741
22415.0215	0.1351778604
22415.972	0.1350706467
22416.9225	0.134963433
22417.873	0.1348562193
22418.8235	0.1347490055
22419.774	0.1347148343
